Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-6, Run: 031, E, 0, 106, 192, 0, 192, 86, 86
INVAR-6, Run: 032, E, 0, 90, 192, 0, 192, 102, 102
INVAR-6, Run: 033, E, 0, 83, 192, 0, 192, 109, 109
INVAR-6, Run: 034, E, 0, 97, 192, 0, 192, 95, 95
INVAR-6, Run: 035, E, 0, 104, 192, 0, 192, 88, 88
INVAR-6, Run: 036, E, 0, 71, 192, 0, 192, 121, 121
INVAR-6, Run: 037, E, 0, 97, 192, 0, 192, 95, 95
INVAR-6, Run: 038, E, 0, 82, 192, 0, 192, 110, 110
INVAR-6, Run: 039, E, 0, 96, 192, 0, 192, 96, 96
INVAR-6, Run: 040, E, 0, 91, 192, 0, 192, 101, 101
INVAR-6, Run: 041, E, 0, 83, 192, 0, 192, 109, 109
INVAR-6, Run: 042, E, 0, 86, 192, 0, 192, 106, 106
INVAR-6, Run: 043, E, 0, 90, 192, 0, 192, 102, 102
INVAR-6, Run: 044, E, 0, 86, 192, 0, 192, 106, 106
INVAR-6, Run: 045, E, 0, 78, 192, 0, 192, 114, 114
INVAR-6, Run: 046, E, 0, 76, 192, 0, 192, 116, 116
INVAR-6, Run: 047, E, 0, 81, 192, 0, 192, 111, 111
INVAR-6, Run: 048, E, 0, 85, 192, 0, 192, 107, 107
INVAR-6, Run: 049, E, 0, 94, 192, 0, 192, 98, 98
INVAR-6, Run: 050, E, 0, 107, 192, 0, 192, 85, 85
INVAR-6, Run: 051, E, 0, 85, 192, 0, 192, 107, 107
INVAR-6, Run: 052, E, 0, 98, 192, 0, 192, 94, 94
INVAR-6, Run: 053, E, 0, 98, 192, 0, 192, 94, 94
INVAR-6, Run: 054, E, 0, 94, 192, 0, 192, 98, 98
INVAR-6, Run: 055, E, 0, 90, 192, 0, 192, 102, 102
INVAR-6, Run: 056, E, 0, 102, 192, 0, 192, 90, 90
INVAR-6, Run: 057, E, 0, 92, 192, 0, 192, 100, 100
INVAR-6, Run: 058, E, 0, 93, 192, 0, 192, 99, 99
INVAR-6, Run: 059, E, 0, 82, 192, 0, 192, 110, 110
INVAR-6, Run: 060, E, 0, 98, 192, 0, 192, 94, 94
INVAR-6, Run: 061, E, 0, 97, 192, 0, 192, 95, 95
INVAR-6, Run: 062, E, 0, 85, 192, 0, 192, 107, 107
INVAR-6, Run: 063, E, 0, 105, 192, 0, 192, 87, 87
INVAR-6, Run: 064, E, 0, 93, 192, 0, 192, 99, 99
INVAR-6, Run: 065, E, 0, 89, 192, 0, 192, 103, 103
INVAR-6, Run: 066, E, 0, 103, 192, 0, 192, 89, 89
INVAR-6, Run: 067, E, 0, 89, 192, 0, 192, 103, 103
INVAR-6, Run: 068, E, 0, 105, 192, 0, 192, 87, 87
INVAR-6, Run: 069, E, 0, 87, 192, 0, 192, 105, 105
INVAR-6, Run: 070, E, 0, 98, 192, 0, 192, 94, 94
