Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 020, F, 0, 0, 0, 0, 0, 100, 0, 33, 1, 567, 0, 133, 200, 804, 5648, 100, 61, 38, 100, 200, 300, 904, 5681
INVAR-10, Run: 021, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 944, 4711, 100, 54, 45, 100, 200, 300, 1044, 4711
INVAR-10, Run: 022, F, 0, 0, 0, 0, 0, 100, 0, 131, 1, 469, 0, 231, 200, 806, 4626, 100, 62, 37, 100, 200, 300, 906, 4757
INVAR-10, Run: 023, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 616, 3768, 100, 68, 31, 100, 200, 300, 716, 3768
INVAR-10, Run: 024, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 846, 4880, 100, 65, 34, 100, 200, 300, 946, 4880
INVAR-10, Run: 025, F, 0, 0, 0, 0, 0, 100, 0, 113, 1, 487, 0, 213, 200, 745, 4513, 100, 65, 34, 100, 200, 300, 845, 4626
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 100, 0, 346, 1, 254, 0, 446, 200, 768, 5144, 100, 66, 33, 100, 200, 300, 868, 5490
INVAR-10, Run: 027, F, 0, 0, 0, 0, 0, 100, 0, 377, 1, 223, 0, 477, 200, 629, 3910, 100, 65, 34, 100, 200, 300, 729, 4287
INVAR-10, Run: 028, F, 0, 0, 0, 0, 0, 100, 0, 446, 1, 154, 0, 546, 200, 662, 3690, 100, 67, 32, 100, 200, 300, 762, 4136
INVAR-10, Run: 029, F, 0, 0, 0, 0, 0, 100, 0, 60, 1, 540, 0, 160, 200, 1002, 5691, 100, 61, 38, 100, 200, 300, 1102, 5751
INVAR-10, Run: 030, F, 0, 0, 0, 0, 0, 100, 0, 349, 1, 251, 0, 449, 200, 717, 4654, 100, 64, 35, 100, 200, 300, 817, 5003
INVAR-10, Run: 031, F, 0, 0, 0, 0, 0, 100, 0, 6, 1, 594, 0, 106, 200, 875, 4505, 100, 65, 34, 100, 200, 300, 975, 4511
INVAR-10, Run: 032, F, 0, 0, 0, 0, 0, 100, 0, 352, 1, 248, 0, 452, 200, 860, 4782, 100, 66, 33, 100, 200, 300, 960, 5134
INVAR-10, Run: 033, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 771, 3686, 100, 58, 41, 100, 200, 300, 871, 3686
INVAR-10, Run: 034, F, 0, 0, 0, 0, 0, 100, 0, 102, 1, 498, 0, 202, 200, 602, 4370, 100, 73, 26, 100, 200, 300, 702, 4472
INVAR-10, Run: 035, F, 0, 0, 0, 0, 0, 100, 0, 47, 1, 553, 0, 147, 200, 773, 5688, 100, 58, 41, 100, 200, 300, 873, 5735
INVAR-10, Run: 036, F, 0, 0, 0, 0, 0, 100, 0, 335, 1, 265, 0, 435, 200, 773, 4941, 100, 71, 28, 100, 200, 300, 873, 5276
INVAR-10, Run: 037, F, 0, 0, 0, 0, 0, 100, 0, 172, 1, 428, 0, 272, 200, 726, 4003, 100, 55, 44, 100, 200, 300, 826, 4175
